id,nombre,tipo,localidad,provincia,lat,lon,altura,ubicacion,desde,hasta
D0021,INTA - Cinco Saltos,Davis,Cinco Saltos,Río Negro,-38.84,-68.07,282,Cinco Saltos - Río Negro - ARG,2012-04-16T00:00:00Z[UTC],2016-09-08T00:00:00Z[UTC]
D0037,INTA - Picún Leufú,Davis,Picún Leufú,Neuquen,-39.54,-69.3,393,Picún Leufú - Neuquén,2012-04-16T00:00:00Z[UTC],2019-01-03T00:00:00Z[UTC]
D0019,INTA - Cerrillos,Davis,Cerrillos,Salta,-24.89,-65.47,1240,Cerrillos - Salta,2012-04-17T00:00:00Z[UTC],2020-03-25T00:00:00Z[UTC]
D0036,INTA - Olleros,Davis,Anta,Salta,-25.1,-64.23,400,Coronel Olleros,2012-04-16T00:00:00Z[UTC],2020-04-03T00:00:00Z[UTC]
D0041,INTA - R de la Frontera,Davis,Rosario de la Frontera,Salta,-25.82,-64.96,828,Rosario de la frontera,2012-04-17T00:00:00Z[UTC],2018-05-11T00:00:00Z[UTC]
D0043,INTA - Salta Forestal,Davis,Anta,Salta,-24.96,-63.85,348,Centro 25 de Junio - Eco Desarrollo Salta S.A.,2012-04-16T00:00:00Z[UTC],2017-10-17T00:00:00Z[UTC]
D0039,INTA - Pomona,Davis,Pomona,Río Negro,-39.48,-65.65,127,Est. Pichi Lauquen - Pomona - Río Negro - ARG,2012-02-12T00:00:00Z[UTC],2016-01-28T00:00:00Z[UTC]
D0023,INTA - Consorcio de SG,Davis,Tres Esquinas,Río Negro,-39.32,-65.75,128,CSG - Luís Beltrán - Río Negro,2012-04-16T00:00:00Z[UTC],2015-08-26T00:00:00Z[UTC]
D0025,INTA - Coronel Belisle,Davis,Coronel Belisle,Río Negro,-39.2,-65.89,128,Establ URITRAL - Chacra 23 B,2012-04-16T00:00:00Z[UTC],2017-09-15T00:00:00Z[UTC]
D0024,INTA - Contralmirante Guerrico,Davis,Contralmirante M. Guerrico,Río Negro,-39.02,-67.67,242,Contralmirante Guerrico - Allen - Río Negro,2012-04-16T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
D0030,INTA - La Abrita,Davis,La Abrita,Santiago del Estero,-28.02,-64.22,169,Ruta Nac. Nº 9 Km. 1109,2012-04-08T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
D0016,INTA - Añatuya,Davis,Añatuya,Santiago del Estero,-28.45,-62.83,108,"Fundación Mundo Sano Sgo del Estero, Argentina",2012-04-16T00:00:00Z[UTC],2018-06-16T00:00:00Z[UTC]
A872859,San Sebastian - EEA Santa Cruz,Nimbus THP,San Sebastian,Tierra del Fuego,-52.89,-68.45,19.7999992370605,Ruta nacional Nº 3,2012-03-28T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
D0040,INTA - Potrok Aike,Davis,Ger Aike,Santa Cruz,-51.95,-70.41,132,Campo Experimental Potrok Aike,2012-05-01T00:00:00Z[UTC],2019-12-17T00:00:00Z[UTC]
D0031,INTA - Lago Posadas,Davis,Rio Chico,Santa Cruz,-47.57,-71.74,200,Lago Posadas - Santa Cruz - Argentina,2012-04-25T00:00:00Z[UTC],2012-04-27T00:00:00Z[UTC]
00001039,CAFER - Don Cristóbal,Imetos,Don Cristóbal Primero,Entre Rios,-32.07,-59.99,101,Dto. de Nogoyá,2011-12-31T00:00:00Z[UTC],2015-12-12T00:00:00Z[UTC]
D0050,INTA - Yuto,Davis,Yuto,Jujuy,-23.59,-64.51,398,Ruta Nac. 34 Km. 1286 (4518),2012-05-21T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
A872871,Famailla - EEA Famailla,Nimbus THP,Famaillá,Tucuman,-27.02,-65.38,379.799987792969,"Ruta Prov. 301, Km 32 CP: 4132",2011-12-13T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872855,Puerto Piramides - EEA Chubut,Nimbus THP,Puerto Pirámides,Chubut,-42.54,-64.29,85,Ruta Prov Nº2 (Altura Pto. Piramides),2012-05-17T00:00:00Z[UTC],2021-07-02T00:00:00Z[UTC]
D0044,INTA - San José de Yatasto,Davis,Metan,Salta,-25.6,-64.97,829,Ruta Nac. 34 Km. 1448. Metan - Salta,2012-06-07T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
D0038,INTA - Piquete Cavado,Davis,Piquete Cavado,Salta,-24.82,-64.18,456,Ruta Prov. 30 Km. 10.,2012-06-19T00:00:00Z[UTC],2020-03-02T00:00:00Z[UTC]
D0020,INTA - Chubut,Davis,Trelew,Chubut,-43.27,-65.36,10,EEA Chubut - Ex Ruta Nac 25 Km 1480,2012-06-27T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
D0029,INTA - Hilario Ascasubi,Davis,Villarino,Buenos Aires,-39.38,-62.62,14,Hilario Ascasubi,2012-03-01T00:00:00Z[UTC],2020-03-19T00:00:00Z[UTC]
A872961,Malbran - EEA E Sgo del Estero,Nimbus THP,Malbrán,Santiago del Estero,-29.32,-62.46,82,"Ruta Nacional 34, Km 467.5 C.P: 2354 Dto Aguirre",2016-06-02T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
D0010,Algarrobo,Davis,Algarrobo,Buenos Aires,-38.89,-63.14,40,Algarrobo (Hilario Ascasubi),2012-09-06T00:00:00Z[UTC],2019-05-07T00:00:00Z[UTC]
A872841,Villalonga - EEA H Ascasubi,Nimbus THP,Villalonga,Buenos Aires,-39.92,-62.62,15,"Villalonga, CP: 8512 Partido de Patagones",2012-09-19T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872906,Trenque Lauquen - EEA Villegas,Nimbus THP,Trenque Lauquen,Buenos Aires,-35.97,-62.77,57,Uribarri S/N,2012-09-27T00:00:00Z[UTC],2024-04-13T00:00:00Z[UTC]
A872881,Santa Victoria Este - EEA Yuto,Nimbus THP,Santa Victoria Este,Salta,-22.27,-62.71,269.600006103516,"",2012-01-27T00:00:00Z[UTC],2023-04-28T00:00:00Z[UTC]
D0045,INTA - San Martín,Davis,San Martín,Salta,-22.53,-63.52,344,Ruta Nac. 86 Km 16 - Dpto. San Martín Salta,2012-10-28T00:00:00Z[UTC],2019-08-27T00:00:00Z[UTC]
A872907,Manfredi - EEA Manfredi,Nimbus THP,Manfredi,Córdoba,-31.86,-63.75,292,"Ruta Nac. nro. 9, km 636. C.P: 5988, Córdoba",2012-11-14T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
D0032,INTA - Las Breñas,Davis,Las Breñas,Chaco,-27.07,-61.06,102,Las Breñas,2010-12-31T00:00:00Z[UTC],2016-04-21T00:00:00Z[UTC]
D0042,INTA - Saenz Peña,Davis,Roque Saenz Peña,Chaco,-26.84,-60.44,90,Roque Saenz Peña,2012-11-19T00:00:00Z[UTC],2019-05-15T00:00:00Z[UTC]
A872900,Santa Sylvina - EEA Sáenz Peña,Nimbus THP,Santa Sylvina,Chaco,-27.85,-61.13,90,Ruta 5 S/n. CP: 3541. Dto. F J Sta María de Oro,2012-12-07T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872891,Col Popular - EEA Col Benitez,Nimbus THP,Colonia Popular,Chaco,-27.27,-59.14,82,Ruta Nº 16 km 38 CP: 3505,2012-12-11T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872887,El Portezuelo - EEA La Rioja,Nimbus THP,El Portezuelo,La Rioja,-30.84,-66.7,820,"Ruta Prov. N° 28, salida a Malanzan.CP: 5385",2012-10-11T00:00:00Z[UTC],2024-04-11T00:00:00Z[UTC]
A872888,P de Los Llanos - EEA La Rioja,Nimbus THP,Punta de Los Llanos,La Rioja,-30.15,-66.55,308,-,2012-06-04T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872889,Catuna - EEA La Rioja,Nimbus THP,Villa Santa Rita de Catuna,La Rioja,-30.96,-66.17,497,"Ruta Nac. 79 s/n,Dto.Gral Ortiz de Ocampo, CP:5275",2012-06-04T00:00:00Z[UTC],2022-12-07T00:00:00Z[UTC]
A872908,Cerro Azul - EEA Cerro Azul,Nimbus THP,Cerro Azul,Misiones,-27.66,-55.44,292,Ruta Nacional 14. Km. 1085. CP: 3313,2012-12-28T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872893,Basail - EEA Col Benitez,Nimbus THP,San Fernando,Chaco,-27.9,-59.3,55,"",2012-12-13T00:00:00Z[UTC],2019-10-14T00:00:00Z[UTC]
A872896,Hermoso Campo - EEA Las Breñas,Nimbus THP,Hermoso Campo,Chaco,-27.6,-61.31,95.8000030517578,Ruta 5 acceso Hermoso Campo CP: 3733,2013-02-28T00:00:00Z[UTC],2023-12-28T00:00:00Z[UTC]
A872909,V Miguel Lanus -EEA Cerro Azul,Nimbus THP,Villa Miguel Lanus,Misiones,-27.43,-55.89,120,"Ruta Nacional 12 km 7,5, CP: 3304",2013-02-27T00:00:00Z[UTC],2023-04-20T00:00:00Z[UTC]
D0047,INTA - Tostado,Davis,Tostado,Santa Fe,-29.14,-61.84,79,Tostado – Dpto. 9 de Julio – Pcia. De Santa Fe,2013-02-27T00:00:00Z[UTC],2016-02-11T00:00:00Z[UTC]
000013D3,INTA - Cuchilla,Imetos,Gualeguay,Entre Rios,-33.2,-59.26,8,"Cuchilla Redonda, Gualeguay",2011-12-31T00:00:00Z[UTC],2018-12-31T00:00:00Z[UTC]
00000FCF,INTA - Escuela Maciá,Imetos,Maciá,Entre Rios,-32.16,-59.39,71,Ruta 30 a 2 km de Maciá,2011-12-31T00:00:00Z[UTC],2018-12-31T00:00:00Z[UTC]
A872884,Sumalao - EEA Catamarca,Nimbus THP,Sumalao,Catamarca,-28.47,-65.73,527,"Ruta Prov. n° 33 km 4, CP:4705",2012-11-09T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872885,Andalgala - EEA Catamarca,Nimbus THP,Andalgala,Catamarca,-27.61,-66.33,983,Ing. Jacobaci s/n. Distrito de Huaco CP :4740,2012-12-12T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872882,Palma Sola - EEA Yuto,Nimbus THP,Palma Sola,Jujuy,-23.98,-64.3,680,Av.Dardo Dominguez s/n CP: 4501,2012-01-27T00:00:00Z[UTC],2022-12-19T00:00:00Z[UTC]
A872895,Las Piedritas - EEA Las Breñas,Nimbus THP,Las Piedritas,Chaco,-26.82,-61.61,141.100006103516,Camino vecinal s/n CP: 3722 Dto. 9 de Julio,2012-09-25T00:00:00Z[UTC],2021-05-29T00:00:00Z[UTC]
A872912,Andresito - EEA Montecarlo,Nimbus THP,Andresito,Misiones,-25.62,-54.07,261,"RP 19 y Av. Chile, acceso Andresito, CP: 3385",2013-06-11T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872913,B de Irigoyen - EEA Montecarlo,Nimbus THP,Bernardo de Irigoyen,Misiones,-26.28,-53.67,815,"RN 14, acceso B. de Irigoyen, CP: 3366",2013-06-07T00:00:00Z[UTC],2024-05-08T00:00:00Z[UTC]
A872950,Goya - EEA Bella Vista,Nimbus THP,Goya,Corrientes,-29.18,-59.09,84,Paraje Maruchas (camino vecinal sobre ruta 12),2013-09-03T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872910,San Vicente - EEA Cerro Azul,Nimbus THP,San Vicente,Misiones,-26.92,-54.42,534,"Ruta 14 KM 1025, CP: 3364",2013-08-24T00:00:00Z[UTC],2022-09-03T00:00:00Z[UTC]
A872880,Morillo - EEA Salta,Nimbus THP,Coronel J. Sola,Salta,-23.46,-62.89,220,San Martín s/n e/ Belgrano y R8. CP; 4554,2013-09-06T00:00:00Z[UTC],2024-05-29T00:00:00Z[UTC]
A872883,El Potrero - EEA Yuto,Nimbus THP,Colonia Santa Rosa,Salta,-23.47,-64.38,350,RN 34 Km 1305 CP: 4400,2013-09-18T00:00:00Z[UTC],2023-07-22T00:00:00Z[UTC]
A872914,Esquina - EEA Bella Vista,Nimbus THP,Esquina,Corrientes,-30.04,-59.53,52.9000015258789,"Ruta 12 Km 682 (Acceso Sur), CP: 3196",2013-11-06T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
00000CA2,INTA - Basavilbaso,Imetos,Basavilbaso,Entre Rios,-32.37,-58.89,50,Línea 22 s/n - Basavilbaso,2011-12-31T00:00:00Z[UTC],2014-10-26T00:00:00Z[UTC]
D0001,INTA - EMA Charata,Davis,Charata,Chaco,-27.22,-61.17,103,Escuela Agropecuaria,2013-11-14T00:00:00Z[UTC],2020-04-04T00:00:00Z[UTC]
A872930,Villa Mercedes - EEA San Luis,Nimbus THP,Villa Mercedes,San Luis,-33.66,-65.41,515,"Rutas 7 Km 591, CP: 5730",2014-08-19T00:00:00Z[UTC],2024-04-25T00:00:00Z[UTC]
A872916,Sombrerito - EEA Corrientes,Nimbus THP,El Sombrerito,Corrientes,-27.65,-58.77,78.5999984741211,"RN12, Km. 1008, CP: 3400",2013-12-16T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
D0034,INTA - Malbran,Davis,Malbrán,Santiago del Estero,-29.35,-62.44,87,"Belgrano s/n (observ.) (2354), Depto Aguirre",2013-11-25T00:00:00Z[UTC],2015-03-02T00:00:00Z[UTC]
D0003,INTA - Famailla (DAVIS),Davis,Famaillá,Tucuman,-27.05,-65.42,363,Ruta Prov. 301 km 32 (4132),2014-04-03T00:00:00Z[UTC],2015-05-14T00:00:00Z[UTC]
A872905,El Colorado - EEA El Colorado,Nimbus THP,Pirane,Formosa,-26.33,-59.35,106,Av.Carlos Pellegrini s/n Acceso Sur- 3603,2013-10-07T00:00:00Z[UTC],2022-12-07T00:00:00Z[UTC]
A872904,Bme de las Casas -EEA Colorado,Nimbus THP,Bartolomé de las Casas,Formosa,-25.45,-59.5,116.400001525879,-,2013-12-12T00:00:00Z[UTC],2023-03-24T00:00:00Z[UTC]
A872921,Caa Cati - EEA Corrientes,Nimbus THP,Caá Catí,Corrientes,-27.75,-57.62,74,"Blanco Vega 319, CP: 3407",2013-12-17T00:00:00Z[UTC],2023-09-26T00:00:00Z[UTC]
A872928,Caucete - EEA San Juan,Nimbus THP,Caucete,San Juan,-31.7,-68.29,543,Divisoria e/20 y Ruta 270 Dto 25 de Mayo CP: 5443,2014-04-11T00:00:00Z[UTC],2023-12-04T00:00:00Z[UTC]
A872933,Rama Caida - EEA Rama Caida,Nimbus THP,Rama Caída,Mendoza,-34.67,-68.39,692,El vivero s/n. Dto. San Rafael. CP:5603,2014-03-19T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872934,La Guevarina - EEA Rama Caida,Nimbus THP,La Guevarina,Mendoza,-34.79,-68.02,550,Ruta Nac. 143. Dto San Rafael. CP: 5622,2014-09-03T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872935,Malargüe - EEA Rama Caida,Nimbus THP,Malargüe,Mendoza,-35.38,-69.57,1421,"Ruta Nac. 40, El Chacay Malargüe (CP 5613)",2015-11-11T00:00:00Z[UTC],2024-04-13T00:00:00Z[UTC]
A872920,Curuzu Cuatia - EEA Mercedes,Nimbus THP,Curuzu Cuatia,Corrientes,-29.87,-58.11,80,"Ruta Provincial 126, km 68. Dpto Mercedes CP: 3460",2014-02-12T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
0000034B,INTA - Gálvez,Imetos,Galvéz,Santa Fe,-32.03,-61.16,47,-,2012-03-30T00:00:00Z[UTC],2016-02-11T00:00:00Z[UTC]
A872915,Mercedes - EEA Mercedes,Nimbus THP,Mercedes,Corrientes,-29.2,-58.04,99,Calle Juan Pujol s/n - CC38 - 3470,2014-02-11T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
D0002,Laguna Yema (DAVIS),Davis,Laguna Yema,Formosa,-24.28,-61.24,158,Laguna Yema,2014-04-07T00:00:00Z[UTC],2020-04-03T00:00:00Z[UTC]
00001FBB,INTA - Bella Vista,Imetos,Bella Vista,Corrientes,-28.45,-58.99,70,Ruta 27-10Km norte de Bella Vista -CC5-3432,2012-10-08T00:00:00Z[UTC],2016-03-15T00:00:00Z[UTC]
A872929,Pocito - EEA San juan,Nimbus THP,Pocito,San Juan,-31.66,-68.59,618,"Calle 11y Vidart, Va. Aberastain - 5427",2014-03-28T00:00:00Z[UTC],2023-09-09T00:00:00Z[UTC]
A872901,P. de la Plaza -EEA Sáenz Peña,Nimbus THP,Presidencia de La Plaza,Chaco,-26.93,-59.8,75,Ruta 7 S/n CP: 3536 Dto. Pres de La Plaza,2012-12-18T00:00:00Z[UTC],2023-08-30T00:00:00Z[UTC]
A872840,Medanos - EEA Hilario Ascasubi,Nimbus THP,Medanos,Buenos Aires,-38.87,-62.66,29,"5 Km al sur de Medanos, C.P.: 8132 Pdo. Villarino",2014-11-12T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872842,Stroeder -EEA Hilario Ascasubi,Nimbus THP,Stroeder,Buenos Aires,-40.18,-62.61,21,A 1 km de RN 3 km 900 (por camino vecinal),2015-11-30T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872938,Junín - EEA Junin Mendoza,Nimbus THP,Junin,Mendoza,-33.12,-68.48,654,"Isidoro Bousquet S/Nº, La Colonia, CP:5572",2016-12-12T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872936,Rivadavia - EEA Junin Mendoza,Nimbus THP,La Libertad,Mendoza,-33.26,-68.5,614,"Carril Florida s/n, La Libertad, CP:5579",2017-01-06T00:00:00Z[UTC],2024-06-18T00:00:00Z[UTC]
A872937,Santa Rosa - EEA Junin Mendoza,Nimbus THP,Santa Rosa,Mendoza,-33.18,-67.87,563.799987792969,La Cieneguita Santa Rosa Mendoza  CP: 5596,2017-08-17T00:00:00Z[UTC],2024-06-17T00:00:00Z[UTC]
D0005,San Francisco de Laishi,Davis,Misión San Francisco de Laishí,Formosa,-26.24,-58.64,71,Ruta Provincial N° 1 - Km. 47,2014-07-07T00:00:00Z[UTC],2015-12-16T00:00:00Z[UTC]
D0006,Chacra 25 de Julio,Davis,28 de Julio,Chubut,-43.4,-65.82,36,"",2014-10-23T00:00:00Z[UTC],2014-12-05T00:00:00Z[UTC]
00002646,Santa Magdalena,Imetos,Santa Magdalena,Salta,-24.52,-64.13,443,Departamento ANTA,2013-12-12T00:00:00Z[UTC],2018-12-31T00:00:00Z[UTC]
